,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
533,0.88,0.24476,2.13E-15,0.935017218,0.935017218,0.8955
534,0.88,0.22712,1.40E-15,0.942039455,0.942039455,0.9054
535,0.88,0.21,9.13E-16,0.948716972,0.948716972,0.9149
536,0.88,0.19872,5.95E-16,0.955037422,0.955037422,0.9237
537,0.88,0.18756,3.87E-16,0.960988748,0.960988748,0.9321
538,0.88,0.17604,2.51E-16,0.966559209,0.966559209,0.9399
539,0.88,0.16368,1.62E-16,0.971737415,0.971737415,0.9472
540,0.88,0.15,1.04E-16,0.976512363,0.976512363,0.954
541,0.88,0.11976,6.70E-17,0.980873463,0.980873463,0.9602
542,0.88,0.08868,4.29E-17,0.984810576,0.984810576,0.966
543,0.88,0.05772,2.74E-17,0.988314044,0.988314044,0.9712
544,0.88,0.02784,1.74E-17,0.991374719,0.991374719,0.976
545,0.88,0,1.11E-17,0.993983999,0.993983999,0.9803
546,0.88,0,7.00E-18,0.996133851,0.996133851,0.9841
547,0.88,0,4.42E-18,0.997816846,0.997816846,0.9874
548,0.88,0,2.78E-18,0.999026185,0.999026185,0.9904
549,0.88,0,1.74E-18,0.999755724,0.999755724,0.9929
550,0.88,0,1.09E-18,1,1,0.995
551,0.88,0,6.80E-19,0.999754258,0.999754258,0.9967
552,0.88,0,4.23E-19,0.999014472,0.999014472,0.9981
553,0.88,0,2.62E-19,0.997777362,0.997777362,0.9992
554,0.88,0,1.62E-19,0.996040421,0.996040421,0.9998
555,0.88,0,9.97E-20,0.993801924,0.993801924,1
556,0.88,0,6.13E-20,0.991060952,0.991060952,0.9998
557,0.88,0,3.75E-20,0.987817396,0.987817396,0.9993
558,0.88,0,2.29E-20,0.984071977,0.984071977,0.9983
559,0.88,0,1.40E-20,0.979826247,0.979826247,0.9969
560,0.88,0,8.47E-21,0.975082603,0.975082603,0.995
561,0.88,0,5.13E-21,0.969844286,0.969844286,0.9926
562,0.88,0,3.09E-21,0.964115383,0.964115383,0.9897
563,0.88,0,1.86E-21,0.957900832,0.957900832,0.9865
564,0.88,0,1.12E-21,0.951206411,0.951206411,0.9827
565,0.88,0,6.68E-22,0.944038737,0.944038737,0.9786
566,0.88,0,3.98E-22,0.936405258,0.936405258,0.9741
567,0.88,0,2.37E-22,0.928314238,0.928314238,0.9692
568,0.88,0,1.40E-22,0.919774749,0.919774749,0.9639
569,0.88,0,8.29E-23,0.910796652,0.910796652,0.9581
570,0.88,0,4.88E-23,0.901390575,0.901390575,0.952
571,0.88,0,2.87E-23,0.891567902,0.891567902,0.9454
572,0.88,0,1.68E-23,0.881340738,0.881340738,0.9385
573,0.88,0,9.81E-24,0.87072189,0.87072189,0.9312
574,0.88,0,5.71E-24,0.859724838,0.859724838,0.9235
575,0.88,0,3.31E-24,0.848363703,0.848363703,0.9154
576,0.88,0,1.92E-24,0.836653215,0.836653215,0.907
577,0.88,0,1.11E-24,0.82460868,0.82460868,0.8983
578,0.88,0,6.36E-25,0.812245941,0.812245941,0.8892
579,0.88,0,3.65E-25,0.799581341,0.799581341,0.8798
580,0.88,0,2.09E-25,0.786631683,0.786631683,0.87
581,0.88,0,1.19E-25,0.773414191,0.773414191,0.8598
582,0.88,0,6.76E-26,0.759946463,0.759946463,0.8494
583,0.88,0,3.83E-26,0.746246428,0.746246428,0.8386
584,0.88,0,2.16E-26,0.732332305,0.732332305,0.8276
585,0.88,0,1.22E-26,0.718222552,0.718222552,0.8163
586,0.88008,0,6.84E-27,0.703935824,0.703935824,0.8048
587,0.88014,0,3.83E-27,0.689490922,0.689490922,0.7931
588,0.88016,0,2.14E-27,0.674906749,0.674906749,0.7812
589,0.88012,0,1.19E-27,0.66020226,0.66020226,0.7692
590,0.88,0,6.60E-28,0.645396417,0.645396417,0.757
591,0.87912,0,3.65E-28,0.630508139,0.630508139,0.7448
592,0.87816,0,2.01E-28,0.615556258,0.615556258,0.7324
593,0.87714,0,1.11E-28,0.600559471,0.600559471,0.72
594,0.87608,0,6.06E-29,0.585536298,0.585536298,0.7075
595,0.875,0,3.31E-29,0.570505031,0.570505031,0.6949
